"","name","city","postalcode","address","url","long","lat"
"1","Gruenspan","Hamburg","22767","Grosse Freiheit 58","http://www.ticketmaster.de/venue/287155","9.958075","53.551885"
"2","Philharmonie (Großer Saal)","Berlin","10785","Herbert-von-Karajan-Straße 1","https://www.ticketmaster.de/venue/philharmonie-grosser-saal--berlin-tickets/berphilgro/701","13.36896","52.51007"
"3","Beatpol","Dresden","01157","Altbriesnitz 2a","https://www.ticketmaster.de/venue/beatpol-dresden-tickets/drebeatpol/701","13.67471","51.06498"
"4","Martin-Luther-Kirche","Dresden","01099","Martin-Luther-Platz","https://www.ticketmaster.de/venue/martin-luther-kirche-dresden-tickets/dremartinl/701","13.7566","51.06435"
"5","Marienkirche","Dessau-Roßlau","06844","Schloßplatz","https://www.ticketmaster.de/venue/marienkirche-dessau-rosslau-tickets/desmarienk/701","12.24645","51.83364"
"6","Kleine Olympiahalle","Munich","80809","Spiridon-Louis-Ring 21","https://www.ticketmaster.de/venue/kleine-olympiahalle-munchen-tickets/mueklolymp/715","11.55092","48.17543"
"7","Friedenskirche","Ludwigsburg",NA,"Stuttgarter Str. 42","https://www.ticketmaster.de/venue/friedenskirche-ludwigsburg-tickets/ludfrieden/705","9.19403","48.89085"
"8","Festsaal Kreuzberg","Berlin","12435","Am Flutgraben 2","https://www.ticketmaster.de/venue/festsaal-kreuzberg-berlin-tickets/berfestkre/714","13.42054","52.49945"
"9","SICK-ARENA, Messe Freiburg","Freiburg","79108","Hermann-Mitsch-Straße 3","https://www.ticketmaster.de/venue/sick-arena-messe-freiburg-freiburg-tickets/frerothaus/701","7.84065","48.01587"
"10","Lutherkirche","Karlsruhe","76131","Durlacher Allee 23","https://www.ticketmaster.de/venue/lutherkirche-karlsruhe-tickets/karlutherk/701","8.42323","49.00828"
"11","SpardaWelt Freilichtbühne","Stuttgart","70192","Im Höhenpark Killesberg","https://www.ticketmaster.de/venue/spardawelt-freilichtbuhne-stuttgart-tickets/stufreilic/701","9.171","48.79839"
"12","Liederhalle (Mozartsaal)","Stuttgart","70174","Berliner Platz 1-3","https://www.ticketmaster.de/venue/liederhalle-mozartsaal--stuttgart-tickets/stuliederm/701","9.1691","48.77969"
"13","Lutherkirche","Remscheid","42853","Martin-Luther-Straße","https://www.ticketmaster.de/venue/lutherkirche-remscheid-tickets/remlutherk/701","7.174","51.18327"
"14","FZW","Dortmund","44263","Ritterstraße 20","https://www.ticketmaster.de/venue/fzw-dortmund-tickets/dorfzw/701","7.4501","51.51481"
"15","Lokschuppen","Bielefeld","33609","Stadtheider Straße 11","https://www.ticketmaster.de/venue/lokschuppen-bielefeld-tickets/bieringlok/701","8.55231","52.03673"
"16","Festung Ehrenbreitstein","Koblenz am Rhein","56077","Veranstaltungsgraben","https://www.ticketmaster.de/venue/festung-ehrenbreitstein-koblenz-am-rhein-tickets/kobfestung/701","7.61384","50.36458"
"17","Musikbunker Aachen","Aachen","52066","Goffartstraße 26","https://www.ticketmaster.de/venue/musikbunker-aachen-aachen-tickets/aacmusikbu/701","6.10378","50.76692"
