"","name","city","postalcode","address","url","long","lat"
"1","Stade Pierre-Mauroy","Villeneuve-d'Ascq","59650","261 Boulevard de Tournai","https://www.ticketmaster.be/venue/stade-pierre-mauroy-villeneuve-dascq-tickets/stadepierr/101","3.1305","50.61191"
"2","Le Trabendo","Paris","75019","Parc de la Villette, 211 Avenue Jean Jaurès",NA,"2.39026","48.8938489"
"3","Stade Chaban-Delmas ","Bordeaux","33000","Place Johnston",NA,NA,NA
"4","Accorhotels Arena","Paris","75012","8 Boulevard de Bercy",NA,"2.378568","48.838721"
"5","FRANCE","Madeleine-Sous-Montreuil","62170","Rue de la Grenouillère","https://www.ticketmaster.be/venue/france-madeleine-sous-montreuil-tickets/msm/101","1.75239","50.470086"
"6","FRANCE","Menton","06500","30 avenue Aristide Briand","https://www.ticketmaster.be/venue/france-menton-tickets/men/101","7.527968","43.785885"
"7","FRANCE","Paris","75011","129 avenue Parmentier","https://www.ticketmaster.be/venue/france-paris-tickets/pas/101","2.371287","48.869354"
"8","FRANCE","Paris","75008","25 avenue Montaigne","https://www.ticketmaster.be/venue/france-paris-tickets/ris/101","2.304272","48.866208"
"9","Stade Bayard","Charleville-Mézières","08000","Charleville-Mezieres","https://www.ticketmaster.be/venue/stade-bayard-charleville-mezieres-billets/cha/101","4.715","49.76442"
"10","Départ de Lille","Lille","59000","Place Saint-Hubert","https://www.ticketmaster.be/venue/depart-de-lille-lille-billets/dlh/101","3.07082","50.63878"
"11","Château Fougerette","Étang-sur-Arroux","71190","Lieu Dit Fougerette","https://www.ticketmaster.ch/venue/chateau-de-fougerette-etang-sur-arroux-tickets/chatfouger/103","4.20077","46.8564"
"12","Museo de Cera Grévin de Paris","Paris","75009","10 Boulevard Montmartre","https://www.ticketmaster.es/venue/museo-de-cera-grevin-de-paris-paris-entradas/mucegrepar/114","2.34222","48.87184"
"13","Futuroscope","Chasseneuil-du-Poitou","86360","Chasseneuil-du-Poitou","https://www.ticketmaster.es/venue/futuroscope-chasseneuil-du-poitou-entradas/futuroscdp/114","0.36976","46.66986"
"14","KORIPALLON EM-KISAT","Montpellier","00000","Ranska","https://www.ticketmaster.fi/venue/koripallon-em-kisat-montpellier-lippuja/skoripallo/303","3.87672","43.61077"
"15","Stade de France","Paris",NA,"93216 Saint-Denis","https://www.ticketmaster.fi/venue/stade-de-france-paris-lippuja/stf/325","2.36176","48.91936"
"16","Parc des Princes","Paris","75016","24 Rue du Commandant Guilbaud","https://www.ticketmaster.dk/venue/parc-des-princes-paris-billetter/pdp/203","2.25156","48.8418"
"17","Site Festival","Aulnoye-Aymeries","59620","Rue Barbusse","https://www.ticketmaster.be/venue/site-festival-aulnoye-aymeries-tickets/aulnaym/101","3.83533","50.19644"
"18","Théâtre Léo Ferré","Aulnoye-Aymeries","59620","Rue du Foyer","https://www.ticketmaster.be/venue/theatre-leo-ferre-aulnoye-aymeries-tickets/leoferre/101","3.83715","50.20378"
"19","Stade de France","Saint Denis","93216",NA,"https://www.ticketmaster.be/venue/stade-de-france-saint-denis-tickets/stadefr/101","2.351","48.918"
"20","Stade Pierre Mauroy","Villeneuve-d'Ascq","59656","261, Boulevard de Tournai CS 70678","https://www.ticketmaster.be/venue/stade-pierre-mauroy-villeneuve-dascq-tickets/sli/101","3.1305","50.61191"
"21","Fondation de France","Paris","75008","40 Avenue Hoche","https://www.ticketmaster.be/venue/fondation-de-france-paris-tickets/france/105","2.29849","48.87576"
